customer_id,recency,frequency,monetary,cluster,segment
C100000,57,8,367943.55,1,At Risk
C100001,17,10,1058233.33,0,Champions
C100002,54,6,705403.43,1,At Risk
C100003,292,10,1046701.4000000001,3,Loyal Customers
C100004,264,7,412920.33,1,At Risk
C100005,45,8,529158.26,3,Loyal Customers
C100006,123,5,749769.72,1,At Risk
C100007,233,8,928192.99,3,Loyal Customers
C100008,87,6,368722.6,1,At Risk
C100009,169,11,897081.16,3,Loyal Customers
C100010,154,11,1045731.0800000001,0,Champions
C100011,193,8,870407.63,3,Loyal Customers
C100012,225,5,541572.52,1,At Risk
C100013,57,10,964472.616,3,Loyal Customers
C100014,53,11,1166619.32,0,Champions
C100015,249,5,370557.22,1,At Risk
C100016,23,9,1230403.46,0,Champions
C100017,433,5,249082.52000000002,2,New / Low Engagement
C100018,285,7,934424.38,3,Loyal Customers
C100019,13,9,1193721.54,0,Champions
C100020,82,6,319444.86,1,At Risk
C100021,18,7,426815.86,1,At Risk
C100022,212,11,1443573.67,0,Champions
C100023,39,6,606592.19,1,At Risk
C100024,33,5,913427.56,1,At Risk
C100025,162,6,511018.18,1,At Risk
C100026,64,8,970866.82,3,Loyal Customers
C100027,135,6,408881.08,1,At Risk
C100028,11,10,523196.33,3,Loyal Customers
C100029,27,7,835457.87,3,Loyal Customers
C100030,45,11,1150266.31,0,Champions
C100031,119,5,576484.97,1,At Risk
C100032,252,7,1118140.53,3,Loyal Customers
C100033,248,4,265922.55,1,At Risk
C100034,74,5,511467.63,1,At Risk
C100035,117,4,524340.45,1,At Risk
C100036,247,6,795553.0900000001,3,Loyal Customers
C100037,175,9,1418647.8900000001,0,Champions
C100038,224,9,737021.04,3,Loyal Customers
C100039,325,7,419775.56,2,New / Low Engagement
C100040,164,11,877660.36,3,Loyal Customers
C100041,151,4,599743.2,1,At Risk
C100042,102,4,383112.85,1,At Risk
C100043,62,8,956923.43,3,Loyal Customers
C100044,73,4,635362.06,1,At Risk
C100045,68,12,1181692.36,0,Champions
C100046,61,11,1489123.72,0,Champions
C100047,58,12,1569511.45,0,Champions
C100048,74,7,989246.46,3,Loyal Customers
C100049,26,9,805292.7,3,Loyal Customers
C100050,84,8,638140.648,3,Loyal Customers
C100051,123,6,691894.21,1,At Risk
C100052,114,13,1605267.1500000001,0,Champions
C100053,141,8,1128907.89,3,Loyal Customers
C100054,384,4,529466.02,2,New / Low Engagement
C100055,38,9,578050.95,3,Loyal Customers
C100056,56,7,1016814.92,3,Loyal Customers
C100057,174,6,474420.558,1,At Risk
C100058,534,4,382956.92,2,New / Low Engagement
C100059,286,5,675961.58,2,New / Low Engagement
C100060,287,8,1124889.46,3,Loyal Customers
C100061,184,11,1035493.5,0,Champions
C100062,26,9,1386623.9300000002,0,Champions
C100063,9,7,618032.36,1,At Risk
C100064,350,4,522491.72,2,New / Low Engagement
C100065,128,6,415942.19,1,At Risk
C100066,139,11,751722.69,3,Loyal Customers
C100067,308,10,887762.975,3,Loyal Customers
C100068,27,13,1217655.47,0,Champions
C100069,3,17,1880813.31,0,Champions
C100070,302,3,311138.71,2,New / Low Engagement
C100071,56,10,1249756.74,0,Champions
C100072,147,6,707102.4400000001,1,At Risk
C100073,120,9,937702.77,3,Loyal Customers
C100074,154,4,705770.36,1,At Risk
C100075,7,7,700826.11,3,Loyal Customers
C100076,124,8,695852.66,3,Loyal Customers
C100077,49,6,566225.58,1,At Risk
C100078,116,8,694444.77,3,Loyal Customers
C100079,234,7,1053148.21,3,Loyal Customers
C100080,185,6,674470.4099999999,1,At Risk
C100081,47,4,165126.63,1,At Risk
C100082,137,11,1282839.51,0,Champions
C100083,50,8,705880.61,3,Loyal Customers
C100084,369,7,880707.8500000001,2,New / Low Engagement
C100085,68,11,1191871.3900000001,0,Champions
C100086,291,6,822262.21,2,New / Low Engagement
C100087,52,5,253404.11,1,At Risk
C100088,203,4,135937.94,1,At Risk
C100089,225,4,147882.53999999998,1,At Risk
C100090,94,11,1390302.89,0,Champions
C100091,118,9,667218.91,3,Loyal Customers
C100092,15,5,352058.37000000005,1,At Risk
C100093,88,7,852921.2999999999,3,Loyal Customers
C100094,644,4,481919.65,2,New / Low Engagement
C100095,203,11,1231093.4,0,Champions
C100096,81,6,691326.57,1,At Risk
C100097,19,5,651279.15,1,At Risk
C100098,59,14,1302926.36,0,Champions
C100099,6,12,1826269.02,0,Champions
C100100,28,12,1053570.3699999999,0,Champions
C100101,67,3,424608.1165,1,At Risk
C100102,377,7,407991.47250000003,2,New / Low Engagement
C100103,78,7,1045423.9299999999,3,Loyal Customers
C100104,71,10,1173145.75,0,Champions
C100105,269,4,300207.45,1,At Risk
C100106,161,6,588461.27,1,At Risk
C100107,91,10,911709.99,3,Loyal Customers
C100108,16,13,1518781.14,0,Champions
C100109,11,12,1221129.75,0,Champions
C100110,267,4,491341.29,1,At Risk
C100111,75,18,1694655.8900000001,0,Champions
C100112,239,11,1255827.264,0,Champions
C100113,78,6,642872.9099999999,1,At Risk
C100114,25,6,792189.16,3,Loyal Customers
C100115,64,5,671402.82,1,At Risk
C100116,42,4,292154.32,1,At Risk
C100117,487,5,796692.91,2,New / Low Engagement
C100118,259,7,916000.3600000001,3,Loyal Customers
C100119,102,5,476078.02,1,At Risk
C100120,93,6,171913.27,1,At Risk
C100121,46,10,882378.81,3,Loyal Customers
C100122,110,15,1381594.8,0,Champions
C100123,73,12,1070770.61,0,Champions
C100124,51,5,756154.6,1,At Risk
C100125,112,9,558890.08,3,Loyal Customers
C100126,92,8,704788.1699999999,3,Loyal Customers
C100127,431,3,195676.79,2,New / Low Engagement
C100128,878,1,167229.7,2,New / Low Engagement
C100129,392,6,872213.6799999999,2,New / Low Engagement
C100130,126,10,1227200.0499999998,0,Champions
C100131,509,3,337212.18000000005,2,New / Low Engagement
